timestamp,open,high,low,close,volume
1641135600,1.13693,1.13742,1.13645,1.13726,571
1641139200,1.13725,1.13778,1.13687,1.13728,1345
1641142800,1.13728,1.13759,1.13608,1.13622,1054
1641146400,1.13622,1.13654,1.13497,1.13588,1349
1641150000,1.13588,1.13589,1.13422,1.13427,1091
1641153600,1.13430,1.13500,1.13413,1.13482,807
1641157200,1.13483,1.13490,1.13387,1.13406,669
1641160800,1.13406,1.13414,1.13360,1.13380,658
1641164400,1.13380,1.13465,1.13379,1.13430,877
1641168000,1.13431,1.13501,1.13349,1.13480,1948
1641171600,1.13479,1.13479,1.13352,1.13468,3299
1641175200,1.13466,1.13567,1.13355,1.13518,2983
1641178800,1.13518,1.13598,1.13505,1.13551,2224
1641182400,1.13555,1.13661,1.13515,1.13557,2812
1641186000,1.13558,1.13595,1.13471,1.13585,3216
1641189600,1.13585,1.13640,1.13456,1.13504,4771
1641193200,1.13504,1.13519,1.13000,1.13062,5699
1641196800,1.13066,1.13094,1.12904,1.12918,6079
1641200400,1.12919,1.12988,1.12830,1.12888,4771
1641204000,1.12888,1.12902,1.12795,1.12837,2245
1641207600,1.12837,1.12969,1.12829,1.12948,1431
1641211200,1.12948,1.12995,1.12936,1.12970,1593
1641214800,1.12967,1.13003,1.12938,1.12963,1749
1641218400,1.12963,1.12989,1.12941,1.12971,572
1641222000,1.12961,1.12961,1.12920,1.12938,3021
1641225600,1.12940,1.13017,1.12940,1.13016,1083
1641229200,1.13016,1.13068,1.13011,1.13055,1058
1641232800,1.13054,1.13090,1.13017,1.13066,1254
1641236400,1.13066,1.13094,1.12998,1.13023,1172
1641240000,1.13023,1.13044,1.12948,1.12978,1292
1641243600,1.12977,1.13058,1.12961,1.13007,954
1641247200,1.13007,1.13058,1.13005,1.13049,858
1641250800,1.13049,1.13073,1.12921,1.12932,1347
1641254400,1.12932,1.12944,1.12833,1.12917,2780
1641258000,1.12917,1.13001,1.12875,1.12893,4165
1641261600,1.12897,1.13081,1.12830,1.13022,3623
1641265200,1.13022,1.13057,1.12946,1.12948,2787
1641268800,1.12949,1.12966,1.12758,1.12761,3777
